r,g(r)
0.015,0.0
0.025,0.0
0.035,0.0
0.045,0.0
0.05500000000000001,0.0
0.065,0.0
0.075,0.0
0.08499999999999999,0.0
0.095,0.0
0.105,0.0
0.11499999999999999,0.0
0.125,0.0
0.135,0.0
0.14500000000000002,0.0
0.15500000000000003,0.0
0.165,0.0
0.17500000000000002,0.0
0.185,0.0
0.195,0.0
0.20500000000000002,0.0
0.21500000000000002,0.0
0.225,0.0
0.23500000000000001,0.0
0.245,0.0
0.255,0.0
0.265,0.0
0.275,0.0
0.28500000000000003,0.0
0.29500000000000004,0.0
0.305,0.0
0.315,0.0
0.325,0.0
0.335,0.0
0.34500000000000003,0.0
0.35500000000000004,0.0
0.365,0.0
0.375,0.0
0.385,0.0
0.395,0.0
0.405,0.0
0.41500000000000004,0.0
0.42500000000000004,0.0
0.435,0.0
0.445,0.0
0.455,0.0
0.465,0.0
0.47500000000000003,0.0
0.485,0.0
0.495,0.0
0.505,0.0002493809581723367
0.515,0.0
0.525,0.00023074241762503466
0.535,0.0
0.545,0.00021411793235552617
0.555,0.0006194144519883142
0.5650000000000001,0.0005976823136461758
0.5750000000000001,0.002308296548339666
0.585,0.003902596116636477
0.595,0.0034132312641765505
0.605,0.003996346461940318
0.615,0.0068941332095284686
0.625,0.007163721394553879
0.635,0.010409803471068046
0.645,0.013299823233308873
0.655,0.018233437677342174
0.665,0.02861909071789728
0.675,0.036990003615568944
0.685,0.0462188655560635
0.6950000000000001,0.061225083937525855
0.7050000000000001,0.07408774479900306
0.7150000000000001,0.10064274731486636
0.725,0.12256867116870789
0.735,0.1502180229028275
0.745,0.18803646629577822
0.755,0.22503913013707513
0.765,0.26624978119843773
0.775,0.33640299626480696
0.785,0.3841343115081378
0.795,0.45956061270365534
0.805,0.5181890210558425
0.8150000000000001,0.6178634329783333
0.8250000000000001,0.7217393987855572
0.8350000000000001,0.8212215638533967
0.845,0.9220551352361415
0.855,1.0112753405755435
0.865,1.1337166991301686
0.875,1.2279003902399583
0.885,1.3333958686527985
0.895,1.432149505744265
0.905,1.5468921036942973
0.915,1.5995593342420475
0.925,1.6735339663820312
0.935,1.7220976571525826
0.9450000000000001,1.7784970356018475
0.9550000000000001,1.8050426652084501
0.9650000000000001,1.7938468351704848
0.975,1.7902211911726982
0.985,1.8078726984986837
0.995,1.7243076541539393
1.005,1.7139024025476353
1.0150000000000001,1.643381245432956
1.025,1.602452145271943
1.0350000000000001,1.5537661771244173
1.045,1.497031962219114
1.0550000000000002,1.4573015470379447
1.065,1.445931270787245
1.0750000000000002,1.3850894529761988
1.085,1.3511397186060983
1.0950000000000002,1.3076381509841875
1.105,1.292515527002971
1.1150000000000002,1.2454432075243038
1.125,1.2257119265990268
1.1350000000000002,1.1960133720518464
1.145,1.1538204390726052
1.1550000000000002,1.1462272617683353
1.165,1.1210577581435883
1.1749999999999998,1.0946406712903778
1.185,1.0774212356642263
1.1949999999999998,1.0504237417009088
1.205,1.042960415533005
1.2149999999999999,1.0195730556324951
1.225,0.9972734380043344
1.2349999999999999,0.9874849993363533
1.245,0.9665156448294243
1.255,0.9524261279162483
1.2650000000000001,0.9470454278647666
1.275,0.9316612343695738
1.2850000000000001,0.9253824587442085
1.295,0.9019685709850964
1.3050000000000002,0.8811775209001691
1.315,0.8905556799521392
1.3250000000000002,0.8779972422236731
1.335,0.8709237242244424
1.3450000000000002,0.8679002108124483
1.355,0.8560377645812478
1.3650000000000002,0.8547026830371054
1.375,0.8520711068935496
1.3850000000000002,0.8619586615478975
1.395,0.8370301919597848
1.4050000000000002,0.8484831274181706
1.415,0.839582139855439
1.4249999999999998,0.8515488200762915
1.435,0.8428721278203958
1.4449999999999998,0.8488819907662448
1.455,0.8532656698437344
1.4649999999999999,0.8447978114409577
1.475,0.8661510901738974
1.4849999999999999,0.8628597522019358
1.495,0.8664933209256662
1.505,0.8714987618200869
1.5150000000000001,0.8725562636496528
1.525,0.8831372413166472
1.5350000000000001,0.8785239249506905
1.545,0.8874904953892994
1.5550000000000002,0.8932086913966109
1.565,0.8923209141964703
1.5750000000000002,0.905715265271071
1.585,0.9104740600958626
1.5950000000000002,0.9175925928319202
1.605,0.9245870238947056
1.6150000000000002,0.9227309195873111
1.625,0.9368184208040685
1.6350000000000002,0.9546566968478002
1.645,0.9601010244635878
1.6550000000000002,0.9626277929886828
1.665,0.9784454213815429
1.675,0.9765673458061078
1.685,0.9941751178050959
1.6949999999999998,0.9975981906214527
1.705,1.0024479726345115
1.7149999999999999,1.0093659359915594
1.725,1.017916031585413
1.7349999999999999,1.0253996692902758
1.745,1.0294498388443587
1.755,1.0315862401642264
1.7650000000000001,1.0380588143031908
1.775,1.0347119387033064
1.7850000000000001,1.0421533189118342
1.795,1.0414696545431463
1.8050000000000002,1.049872732748968
1.815,1.0535682083140439
1.8250000000000002,1.0558786886324465
1.835,1.0652347167791343
1.8450000000000002,1.0688522135065353
1.855,1.0556588822303474
1.8650000000000002,1.0633663207124417
1.875,1.0708497170470122
1.8850000000000002,1.0615227166659744
1.895,1.0636316480862427
1.9050000000000002,1.0583124946369185
1.915,1.0593240872259324
1.925,1.0620253489565077
1.935,1.0525544652598249
1.9449999999999998,1.061445389425161
1.955,1.0553734161036257
1.9649999999999999,1.0420071976347736
1.975,1.0464170118176435
1.9849999999999999,1.0351901295107304
1.995,1.037366136412729
2.005,1.0231365122102989
2.0149999999999997,1.0307535470925937
2.025,1.023235005675981
2.035,1.028345730237736
2.045,1.0214611130080604
2.0549999999999997,1.0203089414869237
2.0649999999999995,1.009570991978617
2.0749999999999997,1.0100703946723277
2.085,1.0125619437438256
2.0949999999999998,1.0062803059419825
2.1049999999999995,1.0042774682352968
2.1149999999999998,1.0032200054706037
2.125,0.9951099699830767
2.135,1.0003902317484443
2.1449999999999996,0.9912916664861049
2.155,0.9919184713813363
2.165,0.9948794719685304
2.175,0.9903903551230362
2.1849999999999996,0.9846227555053909
2.195,0.9828129363930427
2.205,0.9882028018320931
2.215,0.9911999631833956
2.2249999999999996,0.9843529214205562
2.235,0.9805677110638654
2.245,0.9884199018733472
2.255,0.9841628770653872
2.2649999999999997,0.9775497497360448
2.275,0.9799603169740445
2.285,0.9800866194550671
2.295,0.9856554825146361
2.3049999999999997,0.9830589661642726
2.315,0.9753201187101406
2.3249999999999997,0.9722544260949062
2.335,0.9799251885412595
2.3449999999999998,0.9815895015583106
2.3549999999999995,0.9804151620007002
2.3649999999999998,0.9802147862501954
2.375,0.9771078754932956
2.385,0.9798436468265436
2.3949999999999996,0.9775325372547436
2.405,0.986419347378556
2.415,0.9811241749043547
2.425,0.9844372041950223
2.4349999999999996,0.9849383584914636
2.445,0.9888559710712291
2.455,0.9872533675513477
2.465,0.989181932980376
2.4749999999999996,0.9947225107636406
2.485,0.9982985331634261
2.495,0.995655440997675
